97;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1141,101,39,79;Haller-05_PT04_168 l 4 b 25; ※
98;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1185,101,35,79;Haller-05_PT04_168 l 4 b 26; ※
99;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1230,101,30,79;Haller-05_PT04_168 l 4 b 27; ※
100;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1272,101,24,79;Haller-05_PT04_168 l 4 b 28; ※
101;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1307,101,17,79;Haller-05_PT04_168 l 4 b 29; ※
102;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1337,101,16,79;Haller-05_PT04_168 l 4 b 30; ※
103;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1367,101,17,79;Haller-05_PT04_168 l 4 b 31; ※
104;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1395,101,29,79;Haller-05_PT04_168 l 4 b 32; ※
105;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1435,101,29,79;Haller-05_PT04_168 l 4 b 33; ※
106;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1478,101,29,79;Haller-05_PT04_168 l 4 b 34; ※
107;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1517,101,31,79;Haller-05_PT04_168 l 4 b 35; ※
108;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1557,101,19,79;Haller-05_PT04_168 l 4 b 36; ※
109;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1587,101,25,79;Haller-05_PT04_168 l 4 b 37; ※
110;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1624,101,15,79;Haller-05_PT04_168 l 4 b 38; ※
111;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1652,101,29,79;Haller-05_PT04_168 l 4 b 39; ※
112;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=47,18,32,79;Haller-05_PT04_168 l 5 b 1; ※
113;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=93,18,25,79;Haller-05_PT04_168 l 5 b 2; ※
114;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=129,18,17,79;Haller-05_PT04_168 l 5 b 3; ※
115;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=160,18,29,79;Haller-05_PT04_168 l 5 b 4; ※
116;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=203,18,23,79;Haller-05_PT04_168 l 5 b 5; ※
117;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=296,18,22,79;Haller-05_PT04_168 l 5 b 6; ※
118;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=354,18,22,79;Haller-05_PT04_168 l 5 b 7; ※
119;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=415,18,15,79;Haller-05_PT04_168 l 5 b 8; ※
120;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=452,18,12,79;Haller-05_PT04_168 l 5 b 9; ※
121;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=535,18,34,79;Haller-05_PT04_168 l 5 b 10; ※
122;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=592,18,28,79;Haller-05_PT04_168 l 5 b 11; ※
123;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=649,18,24,79;Haller-05_PT04_168 l 5 b 12; ※
124;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=679,18,4,79;Haller-05_PT04_168 l 5 b 13; ※
125;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=706,18,47,79;Haller-05_PT04_168 l 5 b 14; ※
126;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=820,18,11,79;Haller-05_PT04_168 l 5 b 15; ※
127;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=848,18,31,79;Haller-05_PT04_168 l 5 b 16; ※
128;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=894,18,23,79;Haller-05_PT04_168 l 5 b 17; ※
129;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=931,18,33,79;Haller-05_PT04_168 l 5 b 18; ※
130;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=983,18,23,79;Haller-05_PT04_168 l 5 b 19; ※
131;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1022,18,28,79;Haller-05_PT04_168 l 5 b 20; ※
132;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1071,18,32,79;Haller-05_PT04_168 l 5 b 21; ※
133;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1118,18,26,79;Haller-05_PT04_168 l 5 b 22; ※
134;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1161,18,26,79;Haller-05_PT04_168 l 5 b 23; ※
135;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1202,18,28,79;Haller-05_PT04_168 l 5 b 24; ※
136;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1295,18,43,79;Haller-05_PT04_168 l 5 b 25; ※
137;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1355,18,45,79;Haller-05_PT04_168 l 5 b 26; ※
138;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1418,18,48,79;Haller-05_PT04_168 l 5 b 27; ※
139;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1479,18,43,79;Haller-05_PT04_168 l 5 b 28; ※
140;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1534,18,24,79;Haller-05_PT04_168 l 5 b 29; ※
2;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=34,218,52,69;Ungler1-05_PT03_116 l 1 b 2; ※
3;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=95,218,66,69;Ungler1-05_PT03_116 l 1 b 3; ※
4;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=167,218,47,69;Ungler1-05_PT03_116 l 1 b 4; ※
5;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=225,218,53,69;Ungler1-05_PT03_116 l 1 b 5; ※
6;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=290,218,44,69;Ungler1-05_PT03_116 l 1 b 6; ※
7;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=348,218,30,69;Ungler1-05_PT03_116 l 1 b 7; ※
8;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=387,218,55,69;Ungler1-05_PT03_116 l 1 b 8; ※
9;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=450,218,72,69;Ungler1-05_PT03_116 l 1 b 9; ※
10;file:Ungler1-05_PT03_116.djvu?djvuopts=&page=1&highlight=535,218,40,69;Ungler1-05_PT03_116 l 1 b 10; ※
